"";"�..Sigla";"Código";"Munic�.pio";"Renda...rendimentos.do.trabalho..2000."
"479";"BA";2922755;"Nova Ibiá";70346
"480";"BA";2922805;"Nova Itarana";57954
"481";"BA";2922854;"Nova Redenção";49655
"482";"BA";2922904;"Nova Soure";49803
"483";"BA";2923001;"Nova Viçosa";67972
"484";"BA";2923035;"Novo Horizonte";30919
"485";"BA";2923050;"Novo Triunfo";71277
"486";"BA";2923100;"Olindina";71288
"487";"BA";2923209;"Oliveira dos Brejinhos";37343
"488";"BA";2923308;"Ouriçangas";55144
"489";"BA";2923357;"Ourolândia";55039
"490";"BA";2923407;"Palmas de Monte Alto";46217
"491";"BA";2923506;"Palmeiras";54883
"492";"BA";2923605;"Paramirim";42529
"493";"BA";2923704;"Paratinga";38556
"494";"BA";2923803;"Paripiranga";69982
"495";"BA";2923902;"Pau Brasil";66696
"496";"BA";2924009;"Paulo Afonso";58023
"497";"BA";2924058;"Pé de Serra";50866
"498";"BA";2924108;"Pedrão";54448
"499";"BA";2924207;"Pedro Alexandre";47847
"500";"BA";2924306;"Piatã";36293
"501";"BA";2924405;"Pilão Arcado";51356
"502";"BA";2924504;"Pindaí";38771
"503";"BA";2924603;"Pindobaçu";39178
"504";"BA";2924652;"Pintadas";50238
"505";"BA";2924678;"Piraí do Norte";59901
"506";"BA";2924702;"Piripá";47031
"507";"BA";2924801;"Piritiba";607
"508";"BA";2924900;"Planaltino";54375
"509";"BA";2925006;"Planalto";6099
"510";"BA";2925105;"Poções";53348
"511";"BA";2925204;"Pojuca";62192
"512";"BA";2925253;"Ponto Novo";41032
"513";"BA";2925303;"Porto Seguro";7341
"514";"BA";2925402;"Potiraguá";75391
"515";"BA";2925501;"Prado";64939
"516";"BA";2925600;"Presidente Dutra";52641
"517";"BA";2925709;"Presidente Jânio Quadros";45101
"518";"BA";2925758;"Presidente Tancredo Neves";55808
"519";"BA";2925808;"Queimadas";49784
"520";"BA";2925907;"Quijingue";28012
"521";"BA";2925931;"Quixabeira";45178
"522";"BA";2925956;"Rafael Jambeiro";49091
"523";"BA";2926004;"Remanso";49894
"524";"BA";2926103;"Retirolândia";57818
"525";"BA";2926202;"Riachão das Neves";51564
"526";"BA";2926301;"Riachão do Jacuípe";61844
"527";"BA";2926400;"Riacho de Santana";43097
"528";"BA";2926509;"Ribeira do Amparo";62224
"529";"BA";2926608;"Ribeira do Pombal";61802
"530";"BA";2926657;"Ribeirão do Largo";66839
"531";"BA";2926707;"Rio de Contas";4852
"532";"BA";2926806;"Rio do Antônio";37495
"533";"BA";2926905;"Rio do Pires";47815
"534";"BA";2927002;"Rio Real";62015
"535";"BA";2927101;"Rodelas";46145
"536";"BA";2927200;"Ruy Barbosa";47053
"537";"BA";2927309;"Salinas da Margarida";56312
"538";"BA";2927408;"Salvador";66624
"539";"BA";2927507;"Santa Bárbara";58026
"540";"BA";2927606;"Santa Brígida";34783
"541";"BA";2927705;"Santa Cruz Cabrália";71796
"542";"BA";2927804;"Santa Cruz da Vitória";70103
"543";"BA";2927903;"Santa Inês";61607
"544";"BA";2928000;"Santaluz";63008
"545";"BA";2928059;"Santa Luzia";67061
"546";"BA";2928109;"Santa Maria da Vitória";47846
"547";"BA";2928208;"Santana";49193
"548";"BA";2928307;"Santanópolis";44446
"549";"BA";2928406;"Santa Rita de Cássia";45118
"550";"BA";2928505;"Santa Teresinha";56496
"551";"BA";2928604;"Santo Amaro";62075
"552";"BA";2928703;"Santo Antônio de Jesus";65584
"553";"BA";2928802;"Santo Estêvão";54318
"554";"BA";2928901;"São Desidério";52199
"555";"BA";2928950;"São Domingos";64672
"556";"BA";2929008;"São Félix";52224
"557";"BA";2929057;"São Félix do Coribe";58634
"558";"BA";2929107;"São Felipe";51742
"559";"BA";2929206;"São Francisco do Conde";5951
"560";"BA";2929255;"São Gabriel";47722
"561";"BA";2929305;"São Gonçalo dos Campos";62764
"562";"BA";2929354;"São José da Vitória";57192
"563";"BA";2929370;"São José do Jacuípe";61592
"564";"BA";2929404;"São Miguel das Matas";56502
"565";"BA";2929503;"São Sebastião do Passé";63426
"566";"BA";2929602;"Sapeaçu";48717
"567";"BA";2929701;"Sátiro Dias";4138
"568";"BA";2929750;"Saubara";64401
"569";"BA";2929800;"Saúde";47915
"570";"BA";2929909;"Seabra";46193
"571";"BA";2930006;"Sebastião Laranjeiras";63352
"572";"BA";2930105;"Senhor do Bonfim";57519
"573";"BA";2930154;"Serra do Ramalho";48682
"574";"BA";2930204;"Sento Sé";44938
"575";"BA";2930303;"Serra Dourada";43069
"576";"BA";2930402;"Serra Preta";46813
"577";"BA";2930501;"Serrinha";58801
"578";"BA";2930600;"Serrolândia";47681
"579";"BA";2930709;"Simões Filho";66769
"580";"BA";2930758;"Sítio do Mato";52321
"581";"BA";2930766;"Sítio do Quinto";60396
"582";"BA";2930774;"Sobradinho";59077
"583";"BA";2930808;"Souto Soares";52105
"584";"BA";2930907;"Tabocas do Brejo Velho";41562
"585";"BA";2931004;"Tanhaçu";68142
"586";"BA";2931053;"Tanque Novo";31344
"587";"BA";2931103;"Tanquinho";5717
"588";"BA";2931202;"Taperoá";68371
"589";"BA";2931301;"Tapiramutá";72207
"590";"BA";2931350;"Teixeira de Freitas";71752
"591";"BA";2931400;"Teodoro Sampaio";5207
"592";"BA";2931509;"Teofilândia";43175
"593";"BA";2931608;"Teolândia";5945
"594";"BA";2931707;"Terra Nova";55782
"595";"BA";2931806;"Tremedal";40514
"596";"BA";2931905;"Tucano";53544
"597";"BA";2932002;"Uauá";48572
"598";"BA";2932101;"Ubaíra";62339
"599";"BA";2932200;"Ubaitaba";67159
"600";"BA";2932309;"Ubatã";581
"601";"BA";2932408;"Uibaí";55628
"602";"BA";2932457;"Umburanas";55239
"603";"BA";2932507;"Una";69826
"604";"BA";2932606;"Urandi";5843
"605";"BA";2932705;"Uruçuca";55697
"606";"BA";2932804;"Utinga";62842
"607";"BA";2932903;"Valença";68
"608";"BA";2933000;"Valente";6355
"609";"BA";2933059;"Várzea da Roça";46708
"610";"BA";2933109;"Várzea do Poço";49505
"611";"BA";2933158;"Várzea Nova";58919
"612";"BA";2933174;"Varzedo";54988
"613";"BA";2933208;"Vera Cruz";5801
"614";"BA";2933257;"Vereda";53109
"615";"BA";2933307;"Vitória da Conquista";69879
"616";"BA";2933406;"Wagner";643
"617";"BA";2933455;"Wanderley";57223
