codigo_mun7;ano;mes;medicos_total;medicos_sus;residencia_medica;horas_total;horas_hosp;horas_amb;horas_outras;medicos_mil_habitantes
1700400;2008;2;1;1;0;40;0;40;0;0,1300052
1700400;2010;8;3;3;0;120;0;120;0;0,395465331
1701002;2012;1;8;8;0;276;116;160;0;0,819000819
1701051;2008;2;1;1;0;40;0;40;0;0,306372549
1701051;2013;12;1;1;0;40;0;40;0;0,300120048
1701051;2014;8;1;1;0;40;0;40;0;0,298062593
1701101;2011;6;2;2;0;60;0;60;0;0,468823254
1701309;2007;9;3;3;0;120;0;120;0;0,548546352
1701903;2012;7;2;2;0;114;17;97;0;0,309885342
1702109;2010;9;292;279;0;14411;142;8344;5925;1,940405625
1702208;2013;9;17;17;0;573;87;486;0;0,507099391
1702307;2012;7;9;9;0;320;140;180;0;1,343283582
1702406;2008;9;14;14;0;660;0;257;403;1,281112738
1702703;2007;7;1;1;0;20;0;10;10;0,295420975
1703057;2009;10;2;2;0;56;0;56;0;0,712504453
1703057;2010;5;2;2;0;56;0;56;0;0,64061499
1703107;2008;8;6;5;0;189;0;189;0;1,131221719
1703107;2008;12;6;5;0;189;0;189;0;1,131221719
1703107;2011;4;5;5;0;158;0;158;0;0,931272118
1703206;2008;10;2;2;0;80;0;80;0;0,430292599
1703206;2009;5;2;2;0;80;0;80;0;0,429830217
1703206;2011;6;1;1;0;40;0;40;0;0,224769611
1703305;2012;5;1;1;0;40;0;40;0;0,250815149
1703602;2015;1;1;1;0;40;0;40;0;0,459347726
1703867;2010;10;2;2;0;80;0;80;0;0,532481363
1703867;2013;2;2;2;0;60;0;60;0;0,493461633
1703883;2012;1;1;1;0;40;0;40;0;0,423190859
1703891;2010;8;3;3;0;90;0;90;0;0,813449024
1703891;2010;12;3;3;0;90;0;90;0;0,813449024
1704105;2013;11;1;1;0;40;0;40;0;0,365363537
1704600;2007;4;1;1;0;40;0;40;0;0,807102502
1705508;2006;12;20;20;0;996;0;805;191;0,702567886
1705508;2010;8;19;18;0;950;0;631;319;0,616122965
1705508;2012;3;23;21;0;949;278;671;0;0,726124704
1705557;2011;7;1;1;0;60;0;50;10;0,213675214
1705607;2013;9;2;2;0;120;0;120;0;0,471698113
1706001;2007;10;5;5;0;200;0;200;0;1,02312257
1706001;2008;6;5;5;0;160;0;160;0;0,993048659
1706100;2012;12;4;4;0;212;46;166;0;0,553863196
1706258;2008;11;1;1;0;60;0;60;0;0,769822941
1706506;2009;6;1;1;0;40;0;40;0;0,185597624
1706506;2011;3;2;2;0;80;0;80;0;0,373831776
1707009;2007;6;16;16;0;642;0;466;176;0,860955661
1707009;2007;10;17;17;0;832;0;551;281;0,91476539
1707009;2009;1;23;23;0;896;6;565;325;1,178037287
1707009;2014;11;24;24;0;820;360;454;6;1,149976042
1707108;2009;11;6;6;0;220;0;175;45;0,905933867
1707207;2009;8;4;4;0;188;0;188;0;0,551419906
1707207;2010;9;4;4;0;188;0;188;0;0,558581204
1707306;2006;12;6;6;0;148;0;114;34;1,275239107
1707306;2015;12;4;4;0;249;86;163;0;0,847098687
1707405;2011;3;3;3;0;88;0;88;0;0,311915159
1707405;2012;2;3;3;0;88;0;88;0;0,307503075
1707553;2008;4;2;2;0;60;0;60;0;0,48768593
1707702;2010;12;3;3;0;180;0;180;0;0,352733686
1707702;2013;5;4;4;0;180;0;180;0;0,454545455
1707702;2015;1;4;4;0;180;0;180;0;0,452079566
1708205;2008;9;11;11;0;524;0;516;8;0,586885771
1708205;2013;12;11;11;0;479;71;408;0;0,584981919
1708205;2014;10;14;14;0;496;77;419;0;0,745751878
1708254;2014;3;1;1;0;40;0;40;0;0,393391031
1708304;2011;7;2;2;0;100;0;100;0;0,402819738
1708304;2013;10;2;2;0;90;0;90;0;0,391006843
1708304;2015;5;2;2;0;90;0;90;0;0,389483934
1709500;2006;4;74;62;0;2745;0;2085;660;1,016050857
1709500;2009;5;129;117;0;7065;0;5010;2055;1,73487365
1710508;2006;1;5;5;0;236;0;96;140;0,76115086
1710508;2009;1;4;4;0;145;0;88;57;0,61218243
1710706;2006;5;1;1;0;40;0;40;0;0,149120191
1710706;2009;12;2;2;0;104;0;90;14;0,321233537
1711100;2006;8;1;1;0;40;0;40;0;0,592768228
1711100;2007;9;1;1;0;60;0;60;0;0,334560054
1711100;2015;2;2;2;0;70;0;70;0;0,807754443
1711100;2015;6;2;2;0;70;0;70;0;0,807754443
1711506;2012;2;2;2;0;80;0;80;0;0,560852496
1711506;2014;1;3;3;0;124;0;124;0;0,804289544
1711803;2007;8;1;1;0;40;0;40;0;0,467071462
1712009;2012;7;4;4;0;128;0;128;0;1,40944327
1712009;2014;7;2;2;0;86;0;86;0;0,668672685
1712405;2009;8;2;2;0;80;0;80;0;0,53633682
1712454;2010;1;2;2;0;120;0;120;0;0,762776506
1712504;2015;6;2;2;0;100;10;90;0;0,408496732
1712702;2008;2;1;1;0;40;0;40;0;0,559284116
1712801;2008;4;1;1;0;40;0;40;0;0,304785126
1712801;2011;7;1;1;0;40;0;40;0;0,314762354
1713809;2008;2;4;4;0;120;0;120;0;0,856164384
1713809;2015;10;4;4;0;146;0;146;0;0,628733103
1714302;2007;9;3;3;0;150;0;150;0;0,66254417
1714302;2011;5;5;5;0;140;0;90;50;1,155535013
1714302;2012;6;2;2;0;95;10;85;0;0,468274409
1714302;2012;8;2;2;0;110;20;90;0;0,468274409
1714302;2014;10;2;2;0;128;24;104;0;0,471809389
1714880;2005;12;5;5;0;150;0;150;0;0,478011472
1715002;2005;8;2;2;0;80;0;80;0;0,613496933
1715002;2007;2;1;1;0;60;0;60;0;0,265111347
1715002;2011;10;2;2;0;100;0;100;0;0,524246396
1715150;2010;5;1;1;0;60;0;60;0;0,437445319
1715259;2009;5;1;1;0;40;0;40;0;0,396039604
1715259;2013;10;1;1;0;40;0;40;0;0,384615385
1715259;2014;6;1;1;0;40;0;40;0;0,380952381
1715705;2006;7;1;1;0;40;0;40;0;0,272851296
1716208;2009;4;4;4;0;216;0;148;68;0,36954915
1716307;2008;5;2;2;0;80;0;80;0;0,407414952
1716653;2005;11;2;2;0;80;0;80;0;0,369890882
1716653;2007;3;1;1;0;40;0;40;0;0,208376745
1716653;2014;3;5;5;0;180;0;180;0;0,935628743
1716703;2011;4;7;7;0;250;0;190;60;0,818330606
1717800;2007;1;2;2;0;140;0;140;0;0,441598587
1717800;2009;6;2;2;0;100;0;100;0;0,428816467
1718006;2006;10;1;1;0;40;0;40;0;0,383582662
1718006;2007;4;1;1;0;40;0;40;0;0,35335689
1718006;2009;6;1;1;0;40;0;40;0;0,336927224
1718006;2011;8;1;1;0;40;0;40;0;0,353731871
1718006;2012;10;1;1;0;40;0;40;0;0,350017501
1718451;2008;8;2;2;0;80;0;80;0;0,896860987
1718451;2014;11;1;1;0;40;0;40;0;0,390472472
1718501;2014;4;2;2;0;80;0;80;0;0,490075962
1718501;2015;8;2;2;0;80;0;80;0;0,484027106
1718550;2013;3;3;3;0;140;0;120;20;0,67643743
1718659;2012;7;1;1;0;40;0;40;0;0,557413601
1718709;2006;12;1;1;0;40;0;40;0;0,352982704
1718709;2008;10;1;1;0;40;0;40;0;0,465116279
1718840;2006;2;3;3;0;128;0;128;0;0,810372771
1718881;2006;10;1;1;0;40;0;40;0;0,406008932
1718881;2012;9;1;1;0;40;0;40;0;0,333889816
1718881;2014;3;2;2;0;80;0;80;0;0,625390869
1718907;2013;2;2;2;0;80;0;80;0;0,420875421
1720101;2005;9;1;1;0;40;0;40;0;0,331345262
1720101;2008;4;2;2;0;100;0;100;0;0,436395374
1720101;2008;11;2;2;0;60;0;60;0;0,436395374
1720101;2015;6;2;2;0;80;0;80;0;0,392464678
1720150;2015;7;3;3;0;100;0;100;0;1,941747573
1720200;2006;9;3;3;0;100;0;100;0;0,312077395
1720200;2015;2;6;6;0;200;0;200;0;0,517375183
1720499;2013;2;2;2;0;60;0;60;0;0,462748727
1720499;2013;5;2;2;0;110;10;100;0;0,462748727
1720853;2008;4;1;1;0;40;0;40;0;0,582072177
1720853;2015;10;1;1;0;40;0;40;0;0,526315789
1720903;2006;9;11;11;0;450;0;310;140;0,759825931
1720903;2012;8;13;13;0;570;165;405;0;0,847678665
1720903;2014;5;12;12;0;526;163;363;0;0,745990302
1720978;2012;2;4;4;0;68;0;68;0;1,53787005
1720978;2015;5;3;3;0;100;0;100;0;1,09609061
1720978;2015;12;5;5;0;108;0;108;0;1,826817684
1721000;2008;3;417;394;0;19130;140;12140;6850;2,266181186
1721109;2007;12;2;2;0;80;0;80;0;0,300165091
