Sigla;Código;Município;Renda - rendimentos do trabalho (2000)
BA;2913705;Inhambupe;53259
BA;2913804;Ipecaetá;63528
BA;2913903;Ipiaú;64455
BA;2914000;Ipirá;62486
BA;2914109;Ipupiara;43629
BA;2914208;Irajuba;57769
BA;2914307;Iramaia;56429
BA;2914406;Iraquara;37275
BA;2914505;Irará;63492
BA;2914604;Irecê;68487
BA;2914653;Itabela;71126
BA;2914703;Itaberaba;62827
BA;2914802;Itabuna;64564
BA;2914901;Itacaré;70734
BA;2915007;Itaeté;42715
BA;2915106;Itagi;66169
BA;2915205;Itagibá;69918
BA;2915304;Itagimirim;63447
BA;2915353;Itaguaçu da Bahia;46024
BA;2915403;Itaju do Colônia;70783
BA;2915502;Itajuípe;6092
BA;2915601;Itamaraju;6695
BA;2915700;Itamari;67091
BA;2915809;Itambé;7243
BA;2915908;Itanagra;61057
BA;2916005;Itanhém;64289
BA;2916104;Itaparica;57205
BA;2916203;Itapé;65936
BA;2916302;Itapebi;62405
BA;2916401;Itapetinga;69042
BA;2916500;Itapicuru;6744
BA;2916609;Itapitanga;62147
BA;2916708;Itaquara;6757
BA;2916807;Itarantim;63755
BA;2916856;Itatim;66683
BA;2916906;Itiruçu;62519
BA;2917003;Itiúba;42743
BA;2917102;Itororó;65214
BA;2917201;Ituaçu;57566
BA;2917300;Ituberá;71174
BA;2917334;Iuiú;59793
BA;2917359;Jaborandi;36242
BA;2917409;Jacaraci;39689
BA;2917508;Jacobina;58813
BA;2917607;Jaguaquara;68688
BA;2917706;Jaguarari;4575
BA;2917805;Jaguaripe;57597
BA;2917904;Jandaíra;6096
BA;2918001;Jequié;66382
BA;2918100;Jeremoabo;39381
BA;2918209;Jiquiriçá;62646
BA;2918308;Jitaúna;5593
BA;2918357;João Dourado;58643
BA;2918407;Juazeiro;69308
BA;2918456;Jucuruçu;53703
BA;2918506;Jussara;56369
BA;2918555;Jussari;58539
BA;2918605;Jussiape;55262
BA;2918704;Lafaiete Coutinho;66218
BA;2918753;Lagoa Real;39265
BA;2918803;Laje;67694
BA;2918902;Lajedão;69355
BA;2919009;Lajedinho;50619
BA;2919058;Lajedo do Tabocal;64531
BA;2919108;Lamarão;58612
BA;2919157;Lapão;64154
BA;2919207;Lauro de Freitas;68484
BA;2919306;Lençóis;5729
BA;2919405;Licínio de Almeida;39706
BA;2919504;Livramento de Nossa Senhora;52448
BA;2919553;Luís Eduardo Magalhães;NA
BA;2919603;Macajuba;4416
BA;2919702;Macarani;56115
BA;2919801;Macaúbas;35705
BA;2919900;Macururé;45175
BA;2919926;Madre de Deus;60809
BA;2919959;Maetinga;55148
BA;2920007;Maiquinique;70691
BA;2920106;Mairi;60409
BA;2920205;Malhada;54819
BA;2920304;Malhada de Pedras;41952
BA;2920403;Manoel Vitorino;52989
BA;2920452;Mansidão;32694
BA;2920502;Maracás;67308
BA;2920601;Maragogipe;37147
BA;2920700;Maraú;59934
BA;2920809;Marcionílio Souza;52515
BA;2920908;Mascote;56116
BA;2921005;Mata de São João;5672
BA;2921054;Matina;41903
BA;2921104;Medeiros Neto;62165
BA;2921203;Miguel Calmon;51361
BA;2921302;Milagres;594
BA;2921401;Mirangaba;57584
BA;2921450;Mirante;27439
BA;2921500;Monte Santo;33178
BA;2921609;Morpará;31649
BA;2921708;Morro do Chapéu;51931
BA;2921807;Mortugaba;44526
BA;2921906;Mucugê;49904
BA;2922003;Mucuri;73613
BA;2922052;Mulungu do Morro;37373
BA;2922102;Mundo Novo;53463
BA;2922201;Muniz Ferreira;63288
BA;2922250;Muquém de São Francisco;44413
BA;2922300;Muritiba;57684
BA;2922409;Mutuípe;62122
BA;2922508;Nazaré;58207
BA;2922607;Nilo Peçanha;58775
BA;2922656;Nordestina;51312
BA;2922706;Nova Canaã;64821
BA;2922730;Nova Fátima;60281
BA;2922755;Nova Ibiá;70346
BA;2922805;Nova Itarana;57954
BA;2922854;Nova Redenção;49655
BA;2922904;Nova Soure;49803
BA;2923001;Nova Viçosa;67972
BA;2923035;Novo Horizonte;30919
BA;2923050;Novo Triunfo;71277
BA;2923100;Olindina;71288
BA;2923209;Oliveira dos Brejinhos;37343
BA;2923308;Ouriçangas;55144
BA;2923357;Ourolândia;55039
BA;2923407;Palmas de Monte Alto;46217
BA;2923506;Palmeiras;54883
BA;2923605;Paramirim;42529
BA;2923704;Paratinga;38556
BA;2923803;Paripiranga;69982
BA;2923902;Pau Brasil;66696
BA;2924009;Paulo Afonso;58023
BA;2924058;Pé de Serra;50866
BA;2924108;Pedrão;54448
BA;2924207;Pedro Alexandre;47847
BA;2924306;Piatã;36293
BA;2924405;Pilão Arcado;51356
BA;2924504;Pindaí;38771
BA;2924603;Pindobaçu;39178
BA;2924652;Pintadas;50238
BA;2924678;Piraí do Norte;59901
BA;2924702;Piripá;47031
BA;2924801;Piritiba;607
BA;2924900;Planaltino;54375
BA;2925006;Planalto;6099
BA;2925105;Poções;53348
BA;2925204;Pojuca;62192
BA;2925253;Ponto Novo;41032
BA;2925303;Porto Seguro;7341
BA;2925402;Potiraguá;75391
BA;2925501;Prado;64939
BA;2925600;Presidente Dutra;52641
BA;2925709;Presidente Jânio Quadros;45101
BA;2925758;Presidente Tancredo Neves;55808
BA;2925808;Queimadas;49784
BA;2925907;Quijingue;28012
BA;2925931;Quixabeira;45178
BA;2925956;Rafael Jambeiro;49091
BA;2926004;Remanso;49894
BA;2926103;Retirolândia;57818
BA;2926202;Riachão das Neves;51564
BA;2926301;Riachão do Jacuípe;61844
BA;2926400;Riacho de Santana;43097
BA;2926509;Ribeira do Amparo;62224
BA;2926608;Ribeira do Pombal;61802
BA;2926657;Ribeirão do Largo;66839
BA;2926707;Rio de Contas;4852
BA;2926806;Rio do Antônio;37495
BA;2926905;Rio do Pires;47815
BA;2927002;Rio Real;62015
BA;2927101;Rodelas;46145
BA;2927200;Ruy Barbosa;47053
BA;2927309;Salinas da Margarida;56312
BA;2927408;Salvador;66624
BA;2927507;Santa Bárbara;58026
BA;2927606;Santa Brígida;34783
BA;2927705;Santa Cruz Cabrália;71796
BA;2927804;Santa Cruz da Vitória;70103
BA;2927903;Santa Inês;61607
BA;2928000;Santaluz;63008
BA;2928059;Santa Luzia;67061
BA;2928109;Santa Maria da Vitória;47846
BA;2928208;Santana;49193
BA;2928307;Santanópolis;44446
BA;2928406;Santa Rita de Cássia;45118
BA;2928505;Santa Teresinha;56496
BA;2928604;Santo Amaro;62075
BA;2928703;Santo Antônio de Jesus;65584
BA;2928802;Santo Estêvão;54318
BA;2928901;São Desidério;52199
BA;2928950;São Domingos;64672
BA;2929008;São Félix;52224
BA;2929057;São Félix do Coribe;58634
BA;2929107;São Felipe;51742
BA;2929206;São Francisco do Conde;5951
BA;2929255;São Gabriel;47722
BA;2929305;São Gonçalo dos Campos;62764
BA;2929354;São José da Vitória;57192
BA;2929370;São José do Jacuípe;61592
BA;2929404;São Miguel das Matas;56502
BA;2929503;São Sebastião do Passé;63426
BA;2929602;Sapeaçu;48717
BA;2929701;Sátiro Dias;4138
BA;2929750;Saubara;64401
BA;2929800;Saúde;47915
BA;2929909;Seabra;46193
BA;2930006;Sebastião Laranjeiras;63352
BA;2930105;Senhor do Bonfim;57519
BA;2930154;Serra do Ramalho;48682
BA;2930204;Sento Sé;44938
BA;2930303;Serra Dourada;43069
BA;2930402;Serra Preta;46813
BA;2930501;Serrinha;58801
BA;2930600;Serrolândia;47681
BA;2930709;Simões Filho;66769
BA;2930758;Sítio do Mato;52321
BA;2930766;Sítio do Quinto;60396
BA;2930774;Sobradinho;59077
BA;2930808;Souto Soares;52105
BA;2930907;Tabocas do Brejo Velho;41562
BA;2931004;Tanhaçu;68142
BA;2931053;Tanque Novo;31344
BA;2931103;Tanquinho;5717
BA;2931202;Taperoá;68371
BA;2931301;Tapiramutá;72207
BA;2931350;Teixeira de Freitas;71752
BA;2931400;Teodoro Sampaio;5207
BA;2931509;Teofilândia;43175
BA;2931608;Teolândia;5945
BA;2931707;Terra Nova;55782
BA;2931806;Tremedal;40514
BA;2931905;Tucano;53544
BA;2932002;Uauá;48572
BA;2932101;Ubaíra;62339
BA;2932200;Ubaitaba;67159
BA;2932309;Ubatã;581
BA;2932408;Uibaí;55628
BA;2932457;Umburanas;55239
BA;2932507;Una;69826
BA;2932606;Urandi;5843
BA;2932705;Uruçuca;55697
BA;2932804;Utinga;62842
BA;2932903;Valença;68
BA;2933000;Valente;6355
BA;2933059;Várzea da Roça;46708
